Station,Country,Longitude,Latitude,Average,Model_Raw,Residual_Raw,Model_matched_2015_to_2024,Residual_matched_2015_to_2024,Model_matched_2022_to_2024,Residual_matched_2022_to_2024,Model_matched_2023_to_2024,Residual_matched_2023_to_2024
AT2WO35,AT,14.8917,46.7083,6.664,5.293689250946045,-1.3703107490539548,7.562787055969238,0.8987870559692386,8.613672256469727,1.9496722564697269,6.4540276527404785,-0.20997234725952119
AT30065,AT,16.1434,48.1955,11.094,4.457220554351807,-6.636779445648193,8.751998901367188,-2.342001098632812,10.463351249694824,-0.6306487503051752,12.891077041625977,1.7970770416259771
AT30101,AT,14.8788,48.1199,14.158,7.015023708343506,-7.142976291656494,10.93863296508789,-3.219367034912109,12.601341247558594,-1.5566587524414057,14.530740737915039,0.3727407379150396
AT30201,AT,16.2057,47.9592,8.165,6.691677093505859,-1.4733229064941398,5.5948805809021,-2.5701194190978995,6.66497802734375,-1.5000219726562491,9.021406173706055,0.8564061737060555
AT30202,AT,15.9189,48.1051,5.45,5.328033447265625,-0.12196655273437518,3.711242198944092,-1.7387578010559084,4.247891426086426,-1.2021085739135744,4.894210338592529,-0.5557896614074709
AT30301,AT,16.9579,48.1442,8.294,5.43744421005249,-2.8565557899475102,9.39362621307373,1.09962621307373,10.061233520507812,1.767233520507812,8.665274620056152,0.37127462005615186
AT30302,AT,16.6753,48.05,7.077,4.703232765197754,-2.373767234802246,5.909084320068359,-1.1679156799316406,6.3906660079956055,-0.6863339920043945,7.426543235778809,0.34954323577880864
AT30401,AT,16.7294,48.3347,7.131,3.919445514678955,-3.211554485321045,7.5419769287109375,0.4109769287109373,7.884613037109375,0.7536130371093748,7.9666876792907715,0.8356876792907713
AT30403,AT,16.522,48.3929,8.745,4.608949661254883,-4.136050338745116,7.177198886871338,-1.5678011131286613,8.349370002746582,-0.3956299972534172,8.22780990600586,-0.5171900939941398
AT30407,AT,16.6363,48.2307,7.45,4.224159240722656,-3.225840759277344,7.964181423187256,0.5141814231872557,8.349272727966309,0.8992727279663084,7.723170280456543,0.2731702804565428
AT30502,AT,15.0467,48.8786,4.714,2.680255651473999,-2.0337443485260014,4.153853893280029,-0.5601461067199711,4.098898887634277,-0.6151011123657231,3.8787753582000732,-0.8352246417999272
AT30601,AT,16.3139,48.3025,9.253,7.705582141876221,-1.5474178581237794,9.243993759155273,-0.009006240844726676,8.632889747619629,-0.6201102523803712,7.959656238555908,-1.293343761444092
AT31204,AT,15.205,48.2128,11.969,5.104663372039795,-6.8643366279602045,10.914529800415039,-1.0544701995849604,11.458409309387207,-0.5105906906127924,10.86909008026123,-1.099909919738769
AT31401,AT,16.301,48.0856,12.837,8.203086853027344,-4.633913146972656,9.617637634277344,-3.219362365722656,9.746288299560547,-3.090711700439453,11.84074592590332,-0.9962540740966794
AT31502,AT,15.86,47.6703,3.256,2.299440860748291,-0.9565591392517088,3.8497960567474365,0.5937960567474367,3.4550132751464844,0.1990132751464846,2.618257999420166,-0.6377420005798338
AT31701,AT,15.5455,48.3704,5.734,3.966391086578369,-1.7676089134216308,6.061832427978516,0.32783242797851564,6.9568705558776855,1.2228705558776856,6.070484161376953,0.33648416137695314
AT31901,AT,16.0625,48.3294,12.357,5.87604284286499,-6.480957157135009,11.031002044677734,-1.325997955322265,11.19800090789795,-1.15899909210205,13.559327125549316,1.202327125549317
AT32301,AT,15.6325,48.2116,13.787,6.533114910125732,-7.253885089874268,10.623559951782227,-3.1634400482177742,12.133767127990723,-1.6532328720092782,13.907964706420898,0.12096470642089763
AT32401,AT,16.255,47.8142,12.142,5.4578142166137695,-6.68418578338623,8.377214431762695,-3.764785568237304,9.456379890441895,-2.685620109558105,11.241236686706543,-0.9007633132934565
